N,sample,seed,order_per_subinterval,rank,h1_gap,eta_f_h1,cluster_relative_error,splitting_relative_error,lower_external_gap_relative,upper_external_gap_relative,maximum_coordinate_frequency,measurement_and_solve_seconds,index_success,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10
216,17,2032109609,512,116,0.00047858298973965066,0.0007417323528733518,1.7846521933178273e-07,4.290393259057453e-08,0.21395725960575623,0.2457425751136781,66.8407226014242,0.15320760000031441,1,35.915300110180524,67.99128526514338,67.9912928570017,100.06727059507796,117.84173219820114,117.84173878543213,149.91771869563593,149.91772512769475,186.7588863808931,186.75889971903857
216,18,2032109610,512,112,0.0005143507897957442,0.001050150975789659,2.0454897155080278e-07,1.0167775474860147e-07,0.213957173299366,0.24574260990756316,46.45817845148475,0.13878299994394183,1,35.91531065430826,67.99128157610062,67.99129673101007,100.06727748994362,117.84173983875482,117.84174682346746,149.91771379481588,149.91772903811085,186.75889550752836,186.7589049339322
216,19,2032109611,512,113,0.0005579849550064763,0.0008217430912807145,2.404388668348182e-07,1.0868029067897396e-07,0.21395723753164134,0.24574261364293495,98.0051020831525,0.14585840003564954,1,35.91530100821513,67.99128836929384,67.99130036580301,100.0672765022399,117.8417376439175,117.841741524639,149.9177181255423,149.91773441864134,186.7589014480572,186.7589302761407
288,0,2032119456,512,131,0.00043398295789213347,0.0008411358758678454,1.4756686367980394e-07,3.446674941899855e-08,0.21395725556558184,0.24574262318947152,56.447507657465685,0.20568919996730983,1,35.915302953495704,67.99128402639539,67.99129057392007,100.06726299367487,117.84173165886489,117.84173602379849,149.91771532830865,149.9177204954844,186.75888895609503,186.75889835267688
288,1,2032119457,512,119,0.0004995494212770542,0.0008173731369950124,1.9380909691826552e-07,2.0321498670783566e-08,0.2139572943542758,0.2457425693149478,57.414775978645054,0.20029309997335076,1,35.91530056360755,67.99128159436268,67.99129585842927,100.06727217003903,117.84173019674823,117.84173926183938,149.91772438146126,149.91772742801356,186.75888781187962,186.75891721798084
288,2,2032119458,512,124,0.0004197468631099537,0.0007427330424993399,1.378934731929509e-07,1.9675054672035828e-08,0.21395725674297209,0.24574263012173184,167.54692739525657,0.21208920003846288,1,35.915301456190406,67.99128772288377,67.99129108998572,100.06727313299548,117.84173107749442,117.84173661461125,149.91771609563304,149.91771904527195,186.7588885451511,186.7588954949279
288,3,2032119459,512,127,0.0004192102030631717,0.0008350273868496176,1.3740961933794963e-07,2.6915817930363998e-08,0.21395723178202666,0.2457425862585522,62.743482573781186,0.21884300000965595,1,35.91530326776115,67.99128483752006,67.99128793854365,100.06727156673526,117.84172835211942,117.84173919864192,149.91771493757622,149.9177189727337,186.75888189674592,186.7588933831133
288,4,2032119460,512,121,0.00046563758980534223,0.0007483532848511934,1.695325755213811e-07,2.4941085461475857e-08,0.21395725154139864,0.2457424997798112,78.39328586658839,0.20497129997238517,1,35.915301551757246,67.99128174464845,67.99129109342135,100.06727291485835,117.84172957770173,117.84174134820935,149.91772004942322,149.91772378853335,186.75887374785177,186.75888658247518
288,5,2032119461,512,124,0.00047901230347643556,0.0007422149127427142,1.7845811948280076e-07,6.7036623938666e-08,0.21395719459326956,0.24574255664645106,87.87631394101504,0.204628000035882,1,35.91529951610188,67.99128103343651,67.9912824936247,100.06727916043903,117.84173594601033,117.84174491297256,149.917715076654,149.91772512663036,186.75888361126454,186.75890245788736
288,6,2032119462,512,124,0.0003943820603885275,0.0008466125122458932,1.2241810545541178e-07,2.2501191930900772e-08,0.21395724012096679,0.24574263009258812,64.56458565371831,0.2139398999279365,1,35.91530260525086,67.99128308922839,67.99129138047881,100.06727417185576,117.84172974975263,117.84173636282452,149.91771335191353,149.91771672524044,186.75888622075044,186.75890526303965
288,7,2032119463,512,121,0.0003562212852551231,0.0008827563653477138,1.0002348367959586e-07,1.648837096738991e-08,0.21395718658875298,0.24574260062418796,99.6785426313602,0.22437700000591576,1,35.915305383046785,67.9912804938604,67.99129038256767,100.06726919963616,117.8417322261254,117.84174193232893,149.91771089599166,149.9177133678903,186.75887844556556,186.7589109459052
