N,sample,seed,order_per_subinterval,rank,h1_gap,eta_f_h1,cluster_relative_error,splitting_relative_error,lower_external_gap_relative,upper_external_gap_relative,maximum_coordinate_frequency,measurement_and_solve_seconds,index_success,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10
672,34,2031172098,512,164,0.0001979460620046,0.0004291654566911,3.1728548102767563e-08,4.406792088658616e-09,0.213957253800594,0.2457425490091831,75.79416928344133,0.9108937999699264,1,35.91529476780284,67.99127503670947,67.99127629586883,100.06725464781768,117.841722010053,117.84172342870735,149.9177024686146,149.91770312927073,186.75886046894328,186.75886187169735
672,35,2031172099,512,171,0.0002776247772962,0.0004883940311174,6.159600625131187e-08,3.298778054110355e-08,0.2139572501624694,0.2457425118494771,166.29912452351124,0.9023970999987796,1,35.91529581382282,67.99127614616572,67.99127756621861,100.0672546033396,117.84172333090264,117.8417241669912,149.91770266147918,149.91770760693132,186.7588593757063,186.758870274627
672,36,2031172100,512,163,0.0002828489102722,0.0005687975226541,6.385201615782123e-08,2.1043738533943397e-08,0.2139572635481582,0.2457425575825042,154.96071300117825,0.9098565999884158,1,35.915297174908055,67.99127875098367,67.99127986220704,100.06725919350808,117.84172419316836,117.84172428907866,149.91770479031828,149.91770794514713,186.75886657011225,186.75887418572165
672,37,2031172101,512,170,0.0002089710252485,0.0005015068541833,3.5356549888938475e-08,1.2253297968486533e-08,0.2139572517169688,0.2457425203963189,93.57836527317995,0.9196746000088752,1,35.9152963367926,67.99127427253889,67.99127623800335,100.06725382114396,117.8417217223801,117.84172310865124,149.91770183618618,149.9177036731724,186.7588567232702,186.75886529317052
672,38,2031172102,512,167,0.0002687311175056,0.0004771987326172,5.7933764993168007e-08,1.5406666224228606e-08,0.2139572669813021,0.2457425236467054,513.0715041752146,0.9021817999891936,1,35.9152955130902,67.99127512509281,67.99127680088304,100.06725509660733,117.84172310935296,117.84172373223592,149.9177047481646,149.91770705789654,186.7588605952848,186.7588638743758
672,39,2031172103,512,166,0.000256916783827,0.0005502364048067,5.301151097683743e-08,1.4595965655231024e-08,0.2139572602813416,0.2457425297292579,141.9107113083979,0.8915550999809057,1,35.91529726689596,67.99127620465907,67.99127887871201,100.06725743416884,117.8417230044452,117.84172412028396,149.91770413176997,149.91770631996354,186.75886076923408,186.75887115481223
672,40,2031172104,512,163,0.0002641208658929,0.0005332452073948,5.6077095145193465e-08,3.1874858643525255e-08,0.2139572258552896,0.2457425137187041,70.36730236992358,0.8966194000095129,1,35.91529670977499,67.99127577933767,67.99127780176595,100.06726024981036,117.84172356457373,117.8417271505319,149.91770200094342,149.9177067795489,186.75885882855405,186.75887320339012
672,41,2031172105,512,166,0.0002460223970304,0.0005602705833086,4.8786807359507286e-08,1.6660982609588595e-08,0.2139572568328399,0.2457425578791987,61.42422893673372,0.9099726000567898,1,35.915297317790866,67.99127685864278,67.99127798576876,100.06725739011202,117.8417228025655,117.84172369433496,149.9177031888295,149.9177056866057,186.75886435605057,186.7588714672049
672,42,2031172106,512,170,0.0001979810113087,0.0005180175480073,3.1814804916898635e-08,3.2157735585174803e-09,0.2139572580313843,0.2457425496047766,271.867232736062,0.9189866000087932,1,35.915296655108975,67.99127512668454,67.99127566608597,100.06725459230373,117.841722176206,117.8417229859232,149.9177026601008,149.91770314220216,186.75886057116472,186.75886220612185
672,43,2031172107,512,169,0.0002069547958826,0.0005557184118831,3.4619812494363436e-08,9.460364873843123e-09,0.2139572526783779,0.2457425336146907,87.56892081998198,0.8994382999371737,1,35.915297314723595,67.99127478335771,67.99127851332335,100.0672556992657,117.84172306303036,117.84172327277912,149.9177021444463,149.91770356272244,186.7588585944881,186.75887110713435
672,44,2031172108,512,170,0.0002738074885305,0.0005555636577447,5.999952112806445e-08,2.7383463086075263e-08,0.2139572588454261,0.2457425170429146,109.612557618166,0.9789561999496073,1,35.91529728317355,67.99127569718371,67.99127948125835,100.06725653578938,117.8417232381466,117.84172346610733,149.91770326232418,149.91770736758994,186.7588599149531,186.75887540946945
