features,seed,repeat,retained,iterations,converged,wall_seconds,energy,mu1,mu2,energy_abs_error,mu1_abs_error,mu2_abs_error,virial_residual,wave_error_1,wave_error_2,retained_rank,complex_unknowns
1024,2086156277,0,617,231,True,53.78818509999837,8.372704756065605,12.297658254754658,12.484473705051363,1.4898767091153786e-06,4.253096427930814e-06,4.436285159670206e-06,1.2792256446177847e-05,0.052972847317127716,0.0767128434404115,617,1234
1024,2086156277,1,617,231,True,53.383285199990496,8.372704756065605,12.297658254754658,12.484473705051363,1.4898767091153786e-06,4.253096427930814e-06,4.436285159670206e-06,1.2792256446177847e-05,0.052972847317127716,0.0767128434404115,617,1234
1024,2086156277,2,617,231,True,53.535407999996096,8.372704756065605,12.297658254754658,12.484473705051363,1.4898767091153786e-06,4.253096427930814e-06,4.436285159670206e-06,1.2792256446177847e-05,0.052972847317127716,0.0767128434404115,617,1234
1024,2086156319,0,623,213,True,68.85645930000464,8.372704076217811,12.297656267520056,12.484471637901336,8.100289150547724e-07,2.265861825279103e-06,2.3691351334065303e-06,7.952675416682958e-06,0.05299552995215201,0.07665385316049321,623,1246
1024,2086156319,1,623,213,True,69.0202913999965,8.372704076217811,12.297656267520056,12.484471637901336,8.100289150547724e-07,2.265861825279103e-06,2.3691351334065303e-06,7.952675416682958e-06,0.05299552995215201,0.07665385316049321,623,1246
1024,2086156319,2,623,213,True,68.17669570000726,8.372704076217811,12.297656267520056,12.484471637901336,8.100289150547724e-07,2.265861825279103e-06,2.3691351334065303e-06,7.952675416682958e-06,0.05299552995215201,0.07665385316049321,623,1246
1024,2086156361,0,601,226,True,51.23362489999272,8.372704565304561,12.297657311627336,12.48447272831595,1.2991156648212154e-06,3.309969105913524e-06,3.4595497471201497e-06,1.3803375613113261e-05,0.05304404890281358,0.07670868023194073,601,1202
1024,2086156361,1,601,226,True,51.737063000007765,8.372704565304561,12.297657311627336,12.48447272831595,1.2991156648212154e-06,3.309969105913524e-06,3.4595497471201497e-06,1.3803375613113261e-05,0.05304404890281358,0.07670868023194073,601,1202
1024,2086156361,2,601,226,True,52.06020279999939,8.372704565304561,12.297657311627336,12.48447272831595,1.2991156648212154e-06,3.309969105913524e-06,3.4595497471201497e-06,1.3803375613113261e-05,0.05304404890281358,0.07670868023194073,601,1202
1024,2086156403,0,617,228,True,54.88538350000454,8.372704720488548,12.297659356225958,12.484474874802142,1.454299651371116e-06,5.354567727877679e-06,5.6060359394649595e-06,7.693178782408605e-06,0.053112973400342094,0.07659601581641085,617,1234
1024,2086156403,1,617,228,True,54.70362650000607,8.372704720488548,12.297659356225958,12.484474874802142,1.454299651371116e-06,5.354567727877679e-06,5.6060359394649595e-06,7.693178782408605e-06,0.053112973400342094,0.07659601581641085,617,1234
1024,2086156403,2,617,228,True,54.98411390000547,8.372704720488548,12.297659356225958,12.484474874802142,1.454299651371116e-06,5.354567727877679e-06,5.6060359394649595e-06,7.693178782408605e-06,0.053112973400342094,0.07659601581641085,617,1234
1024,2086156445,0,610,229,True,52.128484100001515,8.372704520465513,12.297656773239103,12.484472148710154,1.2542766167911168e-06,2.7715808723627333e-06,2.8799439508730984e-06,1.4822836412842905e-05,0.05303165938142734,0.07661532915984207,610,1220
1024,2086156445,1,610,229,True,52.739079899998615,8.372704520465513,12.297656773239103,12.484472148710154,1.2542766167911168e-06,2.7715808723627333e-06,2.8799439508730984e-06,1.4822836412842905e-05,0.05303165938142734,0.07661532915984207,610,1220
1024,2086156445,2,610,229,True,52.555946499996935,8.372704520465513,12.297656773239103,12.484472148710154,1.2542766167911168e-06,2.7715808723627333e-06,2.8799439508730984e-06,1.4822836412842905e-05,0.05303165938142734,0.07661532915984207,610,1220
1024,2086156487,0,629,236,True,53.46732070000144,8.372704632621941,12.297658199061766,12.48447362618969,1.3664330449358886e-06,4.19740353585496e-06,4.357423486922585e-06,1.0734835145891769e-05,0.0529411424262886,0.07656965829197125,629,1258
1024,2086156487,1,629,236,True,53.402910499993595,8.372704632621941,12.297658199061766,12.48447362618969,1.3664330449358886e-06,4.19740353585496e-06,4.357423486922585e-06,1.0734835145891769e-05,0.0529411424262886,0.07656965829197125,629,1258
1024,2086156487,2,629,236,True,53.46898489999876,8.372704632621941,12.297658199061766,12.48447362618969,1.3664330449358886e-06,4.19740353585496e-06,4.357423486922585e-06,1.0734835145891769e-05,0.0529411424262886,0.07656965829197125,629,1258
1536,2086156109,0,751,207,True,63.447881100000814,8.37270362861079,12.297655345668726,12.4844706738547,3.624218933850898e-07,1.3440104957851418e-06,1.4050884971084088e-06,2.500374914032877e-06,0.05300613937532649,0.07655809923211428,751,1502
1536,2086156109,1,751,207,True,63.12649300000339,8.37270362861079,12.297655345668726,12.4844706738547,3.624218933850898e-07,1.3440104957851418e-06,1.4050884971084088e-06,2.500374914032877e-06,0.05300613937532649,0.07655809923211428,751,1502
1536,2086156109,2,751,207,True,63.10034440000891,8.37270362861079,12.297655345668726,12.4844706738547,3.624218933850898e-07,1.3440104957851418e-06,1.4050884971084088e-06,2.500374914032877e-06,0.05300613937532649,0.07655809923211428,751,1502
1536,2086156151,0,760,225,True,64.67255799999111,8.372703556773972,12.297655551999346,12.484470888280907,2.9058507600154826e-07,1.5503411159301095e-06,1.6195147036768276e-06,2.1721470941371557e-08,0.05301771778781064,0.07655649468960371,760,1520
1536,2086156151,1,760,225,True,64.57881249999627,8.372703556773972,12.297655551999346,12.484470888280907,2.9058507600154826e-07,1.5503411159301095e-06,1.6195147036768276e-06,2.1721470941371557e-08,0.05301771778781064,0.07655649468960371,760,1520
